,languages,language_type,label 
362,It was not easy for us to find his house.,english,0
363,Japan depends on other countries for oil.,english,0
364,My brother would often stay up all night.,english,0
365,She has invited me to attend her wedding.,english,0
366,The air conditioner makes too much noise.,english,0
367,The baby has been crying for a long time.,english,0
368,The box was so heavy I could not move it.,english,0
369,The girl who works at the bakery is cute.,english,0
370,The museum is open from Monday to Friday.,english,0
371,The old lady smiled at her granddaughter.,english,0
372,The situation calls for drastic measures.,english,0
373,"The teacher said, ""That's all for today.""",english,0
374,These pictures are really very beautiful.,english,0
375,They live in a little village in England.,english,0
376,We should do away with the death penalty.,english,0
377,What are you going to do with this money?,english,0
378,Will you take us for a drive next Sunday?,english,0
379,Would you please explain the rules to me?,english,0
380,You are too ready to speak ill of others.,english,0
381,You cannot eat your cake and have it too.,english,0
382,You should take care of your sick mother.,english,0
383,Africa was once called the Dark Continent.,english,0
384,"Believe it or not, she has three children.",english,0
385,Cancer can be cured if discovered in time.,english,0
386,Could you send someone up to make the bed?,english,0
387,He is always here between 5 and 6 o'clock.,english,0
388,He is brave enough to go there by himself.,english,0
389,He is coming to see me tomorrow afternoon.,english,0
390,He was caught in the act of pickpocketing.,english,0
391,He went outside for a breath of fresh air.,english,0
392,Health is the most precious thing we have.,english,0
393,I can't put up with that noise any longer.,english,0
394,I can't put up with that noise any longer.,english,0
395,I couldn't make out what he wanted to say.,english,0
396,I don't know how to operate this computer.,english,0
397,I don't know if she will go there with me.,english,0
398,I find foreign languages very interesting.,english,0
399,I have a lot of work to get through today.,english,0
400,I have been taking care of him ever since.,english,0
401,I shouldn't eat food that has sugar in it.,english,0
402,I tried to erase the memory of her crying.,english,0
403,I want to leave this difficult job to her.,english,0
404,I'll wait here until my medicine is ready.,english,0
405,I'm willing to help you if you want me to.,english,0
406,I'm wondering whether to take on that job.,english,0
407,It has been raining for three days on end.,english,0
408,It is definite that he will go to America.,english,0
409,Let's go and see as many things as we can.,english,0
410,Let's let the workers go home early today.,english,0
411,Saying and doing are two different things.,english,0
412,Saying and doing are two different things.,english,0
413,She could not come because of her illness.,english,0
414,She is well known in both India and China.,english,0
415,She is well known in both India and China.,english,0
416,She showed me a letter written in English.,english,0
417,Some of the apples in the box were rotten.,english,0
418,"Some people like cats, others prefer dogs.",english,0
419,That accident was due to his carelessness.,english,0
420,The Japanese eat rice at least once a day.,english,0
421,The Qutub Minar and Red Fort are in Delhi.,english,0
422,The old farmer did not pay him much money.,english,0
423,The teacher was disappointed at my answer.,english,0
424,Toudaiji is the bigger of the two temples.,english,0
425,Why is he angry about something like that?,english,0
426,You will be punished if you break the law.,english,0
427,You're spending too much time watching TV.,english,0
428,Are these the glasses you were looking for?,english,0
429,"By the way, have you ever been to Hokkaido?",english,0
430,Cover up the injured man with this blanket.,english,0
431,Do you know the man standing on the bridge?,english,0
432,"During the war, we had to do without sugar.",english,0
433,From year to year they were growing poorer.,english,0
434,He did not show up at the party last night.,english,0
435,He was arrested because he stole the money.,english,0
436,He was arrested because he stole the money.,english,0
437,His disappointment was obvious to everyone.,english,0
438,His main object in life was to become rich.,english,0
439,His pride didn't allow him to ask for help.,english,0
440,I am afraid of the situation getting worse.,english,0
441,I chose to leave instead of staying behind.,english,0
442,I like the blue one. How much does it cost?,english,0
443,I like the blue one. How much does it cost?,english,0
444,I met my teacher on the way to the station.,english,0
445,I never dreamed that I would meet you here.,english,0
446,I ran out of money during my stay in India.,english,0
447,I'll let you know when it has been decided.,english,0
448,In Japan a new school year starts in April.,english,0
449,India has a different climate from England.,english,0
450,Is it necessary for me to attend the party?,english,0
451,It doesn't matter whether he agrees or not.,english,0
452,It is said that women live longer than men.,english,0
453,It was Tom that broke the window yesterday.,english,0
454,Let me congratulate you on your engagement.,english,0
455,My father told me not to read books in bed.,english,0
456,Our health is our most precious possession.,english,0
457,People of your age often have this problem.,english,0
458,Respect yourself and you will be respected.,english,0
459,She has a rich vocabulary of English words.,english,0
460,Some people want to amend the constitution.,english,0
461,The doctor advised that she take a holiday.,english,0
462,The doctor told him to cut down on smoking.,english,0
463,The door was locked and we couldn't get in.,english,0
464,The girl tried hard to hold back her tears.,english,0
465,The man who is standing there is my father.,english,0
466,The wind carries seeds for great distances.,english,0
467,There are more clouds today than yesterday.,english,0
468,They furnished the library with many books.,english,0
469,This museum has been closed for five years.,english,0
470,This poem was originally written in French.,english,0
471,Tom and Mary want to know what our plan is.,english,0
472,Two brothers set out on a journey together.,english,0
473,We investigated the matter from all angles.,english,0
474,We stayed with them all through the summer.,english,0
475,We've run out of paper for the photocopier.,english,0
476,Whoever wants to come to my party may come.,english,0
477,You are not supposed to play baseball here.,english,0
478,"You aren't leaving Japan for good, are you?",english,0
479,Your plan requires a large amount of money.,english,0
480,A madman is not accountable for his actions.,english,0
481,A rubber ball bounces because it is elastic.,english,0
482,All the answers to this question were wrong.,english,0
483,All the answers to this question were wrong.,english,0
484,Do we have to get up early tomorrow morning?,english,0
485,Do you know this part of the city very well?,english,0
486,Don't forget to come here at seven tomorrow.,english,0
487,Don't forget to come here at seven tomorrow.,english,0
488,"He is a British citizen, but lives in India.",english,0
489,He realized his dream of becoming an artist.,english,0
490,"He said he would write to me, but he hasn't.",english,0
491,I don't know when she will leave for London.,english,0
492,I feel cold. Do you mind closing the window?,english,0
493,I haven't had a chance to see the movie yet.,english,0
494,"If it rains tomorrow, will you stay at home?",english,0
495,It is difficult for me to get up before six.,english,0
496,It's impossible for me to explain it to you.,english,0
497,My father spends a lot of time on his hobby.,english,0
498,My opinion is entirely different from yours.,english,0
499,My parents have just arrived at the station.,english,0
500,She cried out the moment she saw her mother.,english,0
501,She left the old newspapers lying in a heap.,english,0
502,That movie theater always shows good movies.,english,0
503,The baby woke up in the middle of the night.,english,0
504,The children tried to imitate their teacher.,english,0
505,The government has been reforming education.,english,0
506,The male peacock has colorful tail feathers.,english,0
507,The mother is leading her child by the hand.,english,0
508,The thief cursed the police for finding him.,english,0
509,The world is changing more and more quickly.,english,0
510,This coffee is so hot that I can't drink it.,english,0
511,This is the very book that I wanted to read.,english,0
512,Waking up is the opposite of going to sleep.,english,0
513,Whoever comes first will get the best seats.,english,0
514,A big earthquake occurred in India yesterday.,english,0
515,Are you going to cut down all the trees here?,english,0
516,Be sure to put out the fire before you leave.,english,0
517,"Because of his advice, I was able to succeed.",english,0
518,Did it not occur to you to close the windows?,english,0
519,Don't add sentences from copyrighted sources.,english,0
520,Everyone could easily see his disappointment.,english,0
521,He broke himself of the bad habit of smoking.,english,0
522,He is anxious to know the result of the test.,english,0
523,He lost his balance and fell off his bicycle.,english,0
524,He ought to have made allowances for his age.,english,0
525,He tends to get angry when people oppose him.,english,0
526,He works on the farm from morning till night.,english,0
527,His new book is going to come out next month.,english,0
528,I am going to stay here for a couple of days.,english,0
529,"I have two sisters, both of whom are married.",english,0
530,I received a letter which was written by her.,english,0
531,I will give you a call as soon as I get home.,english,0
532,It's been pouring here for the last few days.,english,0
533,Let me give you a lift as far as the station.,english,0
534,Mt. Everest is the highest peak in the world.,english,0
535,My father left me a lot of money in his will.,english,0
536,She burst into tears when she heard the news.,english,0
537,She poured coffee into the cups on the table.,english,0
538,Something is wrong with this washing machine.,english,0
539,Take off your hat when you enter a classroom.,english,0
540,The accident was due to his careless driving.,english,0
541,The car broke down on the way to the airport.,english,0
542,The factory will cease operations next month.,english,0
543,The news caused alarm throughout the village.,english,0
544,The policeman observed the man open the door.,english,0
545,The thief is certain to be caught eventually.,english,0
546,"They fined him 5,000 yen for illegal parking.",english,0
547,This is the village where my father was born.,english,0
548,To distinguish right from wrong is difficult.,english,0
549,Tom couldn't understand what Mary was saying.,english,0
550,Tom couldn't understand what Mary was saying.,english,0
551,Tom couldn't understand what Mary was saying.,english,0
552,We took it for granted that he would join us.,english,0
553,What is the difference between this and that?,english,0
554,What is the difference between this and that?,english,0
555,What will you be doing at this time tomorrow?,english,0
556,Whoever wins the race will receive the prize.,english,0
557,"You can buy whichever you like, but not both.",english,0
558,"As soon as he finished his work, he went home.",english,0
559,Going out in this rain is out of the question.,english,0
560,He is not the sort of guy who gives in easily.,english,0
561,He took advantage of every opportunity he had.,english,0
562,I don't want there to be any misunderstanding.,english,0
563,I had a fight with my older brother yesterday.,english,0
564,I had a fight with my older brother yesterday.,english,0
565,I have tried innumerable times to contact him.,english,0
566,I remember my mother teaching me the alphabet.,english,0
567,I wonder where to hang the picture he gave me.,english,0
568,I wrote down his name so I wouldn't forget it.,english,0
569,I've been given until tomorrow to finish this.,english,0
570,My father is my biggest source of inspiration.,english,0
571,Please don't hesitate to ask me any questions.,english,0
572,Please tell me your name and telephone number.,english,0
573,She is busy at present and can't speak to you.,english,0
574,She will give her picture to whoever wants it.,english,0
575,Take back what you said about me being stingy.,english,0
576,That can't be Mary. She's in the hospital now.,english,0
577,The drug smuggler was arrested at the airport.,english,0
578,"The instant he saw the policeman, he ran away.",english,0
579,There is a limit to how much one can tolerate.,english,0
580,They were about to leave when I arrived there.,english,0
581,This car has been used for the past ten years.,english,0
582,What time do you usually get up every morning?,english,0
583,You are fortunate to have such loving parents.,english,0
584,You had better not go out in this bad weather.,english,0
585,You make mistakes if you do things in a hurry.,english,0
586,You should write it down before you forget it.,english,0
587,You'll get a lot of presents on your birthday.,english,0
588,Almost all Japanese boys like to play baseball.,english,0
589,Can you tell me when to switch the machine off?,english,0
590,Don't forget to return the book to the library.,english,0
591,He became a member of this club five years ago.,english,0
592,He will commit suicide if he can't see his son.,english,0
593,How can you tell good English from bad English?,english,0
594,I came upon an old friend of mine on the train.,english,0
595,I have lots of work to clear up by the weekend.,english,0
596,I have no idea to what extent I can trust them.,english,0
597,I have no idea to what extent I can trust them.,english,0
598,I saw a girl whose hair came down to her waist.,english,0
599,I saw him go into the toilet a few minutes ago.,english,0
600,India gained independence from Britain in 1947.,english,0
601,Last week five students were absent from class.,english,0
602,She reproached me for not answering the letter.,english,0
603,Something must have happened to him on the way.,english,0
604,Sometimes she tried talking to him about India.,english,0
605,The reason which he gave is hard to understand.,english,0
606,The station is located between these two towns.,english,0
607,There are lots of things for us to think about.,english,0
608,These grapes are so sour that I can't eat them.,english,0
609,They booted him out of school for not studying.,english,0
610,Thousands of foreigners visit Japan every year.,english,0
611,Tom wants to know why you didn't call him back.,english,0
612,"We had no customers, so we shut the shop early.",english,0
613,We have some new products we'd like you to see.,english,0
614,We will have to call on our friends to help us.,english,0
615,When did America become independent of England?,english,0
616,"While I was in Taiwan, I made friends with him.",english,0
617,Would you mind speaking a little softer please?,english,0
618,"Will they go on strike again? ""I'm afraid so.""",english,0
619,An old man was resting in the shade of the tree.,english,0
620,Could you please speak a little bit more slowly?,english,0
621,Do you think he will be elected president again?,english,0
622,"Frankly speaking, I don't want to work with him.",english,0
623,"He is a nice man, except that he talks too much.",english,0
624,He left his parents when he was eight years old.,english,0
625,He reminded his wife to wake him up at 7:00 a.m.,english,0
626,He sent out the parcel the day before yesterday.,english,0
627,He was respected both as a teacher and as a man.,english,0
628,How long did it take you to translate this book?,english,0
629,I became friends with him while I was in Taiwan.,english,0
630,I found it impossible to do the work in one day.,english,0
631,I have never come across such a stubborn person.,english,0
632,I have to learn many words and phrases by heart.,english,0
633,I thought that he had already finished the work.,english,0
634,I was ill at ease because I didn't speak French.,english,0
635,I was searching for something that didn't exist.,english,0
636,I was surprised at the news of his sudden death.,english,0
637,It is necessary for you to go there immediately.,english,0
638,It is necessary for you to see a doctor at once.,english,0
639,It makes no difference whether you agree or not.,english,0
640,May I talk with you in private about the matter?,english,0
641,"She had plenty of acquaintances, but no friends.",english,0
642,The doctor told her that she should take a rest.,english,0
643,They are in favor of the reform of the tax laws.,english,0
644,This elevator does not go above the sixth floor.,english,0
645,This machine is superior in quality to that one.,english,0
646,Tom had fifty dollars in his pocket at the time.,english,0
647,Tomorrow is my birthday and I will be seventeen.,english,0
648,Tomorrow is my birthday and I will be seventeen.,english,0
649,"When she was reading the letter, she looked sad.",english,0
650,Why do you think soccer isn't popular in the US?,english,0
651,Will you exchange this sweater for a larger one?,english,0
652,Write back to me as soon as you get this letter.,english,0
653,You will be all right again in a couple of days.,english,0
654,You will be all right again in a couple of days.,english,0
655,Do you think we should import rice from the U.S.?,english,0
656,He contracted malaria while living in the jungle.,english,0
657,He left all his property to his wife in his will.,english,0
658,He made such a long speech that we all got bored.,english,0
659,I am of the opinion that he will never come back.,english,0
660,"I slept all day yesterday, because it was Sunday.",english,0
661,I will tell him about it when he comes next time.,english,0
662,I will tell him about it when he comes next time.,english,0
663,"If possible, I'd like to travel around the world.",english,0
664,"If the coffee is too strong, add some more water.",english,0
665,London is one of the largest cities in the world.,english,0
666,"London, the capital of England, is on the Thames.",english,0
667,The money should be distributed to those in need.,english,0
668,There is no hurry about returning the book to me.,english,0
669,There weren't any children in the park yesterday.,english,0
670,They wanted to get married as soon as they could.,english,0
671,They won't believe me even if I swear it is true.,english,0
672,We cannot decide whether to go to college or not.,english,0
673,You have the freedom to travel wherever you like.,english,0
674,Father objected to my going to the mountain alone.,english,0
675,He is confident that he will pass the examination.,english,0
676,He jumped into water without removing his clothes.,english,0
677,I do not know for certain what she is going to do.,english,0
678,I have a gut feeling that Tom won't pass the test.,english,0
679,I have a gut feeling that Tom won't pass the test.,english,0
680,I have nothing to say with regard to that problem.,english,0
681,I have nothing to say with regard to that problem.,english,0
682,"I know her by sight, but I've never spoken to her.",english,0
683,I learned to play guitar when I was ten years old.,english,0
684,I spent the whole afternoon chatting with friends.,english,0
685,I stayed at home all day instead of going to work.,english,0
686,I think there has been some misunderstanding here.,english,0
687,I'm not saying that your answers are always wrong.,english,0
688,India is the seventh largest country in the world.,english,0
689,It was so noisy that I couldn't make myself heard.,english,0
690,It's an absolute waste of time to wait any longer.,english,0
691,Many people encouraged me to fulfill my ambitions.,english,0
692,My mother is constantly forgetting people's names.,english,0
693,"She is very careful, so she seldom makes mistakes.",english,0
694,The old man sat in the chair with his eyes closed.,english,0
